Company,Role,Applied Date,Platform,Demo Linked,Response,Interview,Notes
Kata.ai,AI Engineer,,Indeed,FraudShield RAG,,,Priority #1
Kredivo Group,ML Engineer,,Indeed,MedicaidGuard,,,Priority #2
Devoteam,ML & AI Engineer,,Indeed,All 4 demos,,,Priority #3
Credit Genius,AI/ML Engineer (Remote),,Indeed,MedicaidGuard + FraudShield,,,
Amartha,Fraud Risk Analyst,,Indeed,Agent Monitor,,,
Binance,Data Scientist (KYB),,Indeed,Agent Monitor + Fraud LLM,,,
NTT DATA,AI Engineer (Remote SG),,Indeed,FraudShield RAG,,,
Toku,Applied AI Engineer (SG),,Indeed,FraudShield RAG,,,
Amar Bank,Sr DS Credit Scoring,,Indeed,MedicaidGuard,,,
Portcast,Sr ML Engineer (Remote),,Indeed,All 4 + publications,,,
